SampleID,RNA-Seq_Sample_Preparation,RNA-Seq_Sequencing_Machine,RNA-Seq_Library_Selection,RNA-Seq_Sequencing_Approach,RNA-Seq_ReadLength_bp,RNA-Seq_StrandedAnalysis_InferExperiment_PeSense,RNA-Seq_StrandedAnalysis_InferExperiment_AntiSense,RNA-Seq_StrandedAnalysis_InferExperiment_Failed,RNA-Seq_Predicted_Strandness_InferExperiment
SJAMLM7003_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.481,0.4819,0.0371,Unstranded
SJAMLM7004_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4841,0.4841,0.0319,Unstranded
SJAMLM7005_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4699,0.4693,0.0608,Unstranded
SJAMLM7006_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4606,0.4637,0.0756,Unstranded
SJAMLM7007_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4683,0.4703,0.0614,Unstranded
SJAMLM7008_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4752,0.4737,0.0511,Unstranded
SJAMLM7009_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4778,0.481,0.0412,Unstranded
SJAMLM7010_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4556,0.458,0.0864,Unstranded
SJAMLM7010472_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4716,0.4705,0.0579,Unstranded
SJAMLM7010475_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4722,0.4744,0.0534,Unstranded
SJAMLM7010478_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4708,0.4714,0.0578,Unstranded
SJAMLM7010479_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.471,0.4726,0.0564,Unstranded
SJAMLM7010482_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4729,0.4723,0.0547,Unstranded
SJBALL030057_D1,Fresh/Frozen,NextSeq,Total_RNA,Paired_End,107 and 126,0.0297,0.9272,0.043,Stranded
SJBALL030059_D1,Fresh/Frozen,NextSeq,Total_RNA,Paired_End,107 and 126,0.0239,0.9169,0.0592,Stranded
SJEPD030060_D1,Fresh/Frozen,NextSeq,Total_RNA,Paired_End,107 and 126,0.0245,0.9208,0.0547,Stranded
SJLCH030061_D1,Fresh/Frozen,NextSeq,Total_RNA,Paired_End,107 and 126,0.0186,0.9382,0.0432,Stranded
SJAMLM7010483_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4708,0.4731,0.056,Unstranded
SJAMLM7010947_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4626,0.4633,0.0741,Unstranded
SJAMLM7010948_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4527,0.4539,0.0934,Unstranded
SJAMLM7010949_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4593,0.4599,0.0808,Unstranded
SJAMLM7010949_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4658,0.4665,0.0678,Unstranded
SJAMLM7010949_R2,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4618,0.4617,0.0765,Unstranded
SJAMLM7010950_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4736,0.4746,0.0518,Unstranded
SJAMLM7010951_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4718,0.4747,0.0535,Unstranded
SJAMLM7010952_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4697,0.4701,0.0601,Unstranded
SJAMLM7010953_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4648,0.4659,0.0693,Unstranded
SJAMLM7010954_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4723,0.4751,0.0526,Unstranded
SJAMLM7010955_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4627,0.463,0.0743,Unstranded
SJAMLM7010955_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4599,0.4616,0.0784,Unstranded
SJAMLM7010956_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4558,0.4543,0.0899,Unstranded
SJAMLM7010957_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4668,0.4711,0.0621,Unstranded
SJAMLM7010958_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4616,0.4629,0.0755,Unstranded
SJAMLM7010959_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4641,0.4647,0.0712,Unstranded
SJAMLM7010960_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4564,0.4581,0.0854,Unstranded
SJAMLM7010961_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4554,0.4581,0.0866,Unstranded
SJAMLM7010962_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4628,0.4658,0.0714,Unstranded
SJAMLM7010963_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4692,0.4692,0.0616,Unstranded
SJAMLM7010964_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4752,0.4722,0.0527,Unstranded
SJAMLM7011_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4814,0.4814,0.0372,Unstranded
SJST030043_D2,Fresh/Frozen,NextSeq,Total_RNA,Paired_End,107 and 126,0.0131,0.9366,0.0502,Stranded
SJAMLM7011108_D2,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.466,0.4665,0.0675,Unstranded
SJWLM030062_D1,Fresh/Frozen,NextSeq,Total_RNA,Paired_End,107 and 126,0.0155,0.9285,0.056,Stranded
SJAMLM7011109_D2,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4698,0.4692,0.061,Unstranded
SJAMLM7011233_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4751,0.4733,0.0516,Unstranded
SJAMLM7011234_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4848,0.4836,0.0316,Unstranded
SJAMLM7011235_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4673,0.4681,0.0646,Unstranded
SJAMLM7011236_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4696,0.469,0.0614,Unstranded
SJAMLM7011237_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4706,0.471,0.0585,Unstranded
SJAMLM7011238_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4696,0.4692,0.0611,Unstranded
SJAMLM7011239_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4772,0.4778,0.045,Unstranded
SJAMLM7011240_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4729,0.4733,0.0538,Unstranded
SJAMLM7011241_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.472,0.4721,0.056,Unstranded
SJAMLM7011242_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.468,0.4682,0.0638,Unstranded
SJAMLM7011243_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4692,0.4703,0.0605,Unstranded
SJAMLM7011244_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4675,0.4672,0.0653,Unstranded
SJAMLM7011245_R1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4761,0.4753,0.0486,Unstranded
SJAMLM7011246_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4768,0.48,0.0431,Unstranded
SJAMLM7011247_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4645,0.4653,0.0703,Unstranded
SJAMLM7011248_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4709,0.47,0.0591,Unstranded
SJAMLM7011249_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4702,0.4687,0.0611,Unstranded
SJAMLM7011321_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4817,0.4833,0.035,Unstranded
SJAMLM7011322_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4679,0.4682,0.0639,Unstranded
SJAMLM7011323_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4644,0.4678,0.0678,Unstranded
SJAMLM7011324_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4739,0.4727,0.0534,Unstranded
SJAMLM7011325_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4712,0.471,0.0578,Unstranded
SJAMLM7011326_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.448,0.451,0.101,Unstranded
SJAMLM7011327_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4656,0.468,0.0664,Unstranded
SJAMLM7011328_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4725,0.4705,0.057,Unstranded
SJAMLM7012_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4745,0.4765,0.0491,Unstranded
SJAMLM7013_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4768,0.4761,0.047,Unstranded
SJAMLM7014_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4661,0.4656,0.0683,Unstranded
SJAMLM7015_D,Fresh/Frozen,GAIIX,PolyA,Paired_End,101,0.4749,0.4739,0.0512,Unstranded
SJAMLM7015533_D1,Fresh/Frozen,HiSeq2000,Total_RNA,Paired_End,101,0.0251,0.9253,0.0496,Stranded
SJOS030129_D2,FFPE,HiSeq4000,Total_RNA,Paired_End,126,0.0125,0.9502,0.0374,Stranded
SJAMLM7015534_D1,Fresh/Frozen,HiSeq2000,Total_RNA,Paired_End,101,0.0166,0.9339,0.0495,Stranded
SJACT030424_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJAMLM7015535_D1,Fresh/Frozen,HiSeq2000,Total_RNA,Paired_End,101,0.0609,0.8965,0.0426,Stranded
SJACT030437_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJACT030487_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030392_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030400_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030419_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030443_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030461_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030559_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030647_D1,FFPE,NextSeq,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030707_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030717_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBT030760_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJAMLM7015549_D1,Fresh/Frozen,HiSeq2000,Total_RNA,Paired_End,101,0.0157,0.9331,0.0512,Stranded
SJAMLM7015549_R1,Fresh/Frozen,HiSeq2000,Total_RNA,Paired_End,101,0.0129,0.9363,0.0507,Stranded
SJAMLM7015830_R1,Fresh/Frozen,HiSeq2000,Total_RNA,Paired_End,101,0.0239,0.9391,0.0369,Stranded
SJAMLM7026_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4738,0.4763,0.05,Unstranded
SJAMLM7027_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4715,0.4696,0.0589,Unstranded
SJAMLM7028_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4744,0.4761,0.0495,Unstranded
SJAMLM7029_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4588,0.457,0.0843,Unstranded
SJAMLM7030_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4706,0.4699,0.0594,Unstranded
SJAMLM7031_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4629,0.4647,0.0724,Unstranded
SJAMLM7032_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4745,0.4746,0.0508,Unstranded
SJAMLM7033_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4746,0.4754,0.05,Unstranded
SJAMLM7041_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4707,0.4748,0.0545,Unstranded
SJAMLM7042_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4746,0.4806,0.0448,Unstranded
SJAMLM7043_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4721,0.4702,0.0577,Unstranded
SJAMLM7045_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4714,0.4712,0.0573,Unstranded
SJAMLM7046_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4766,0.4766,0.0468,Unstranded
SJAMLM7047_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4712,0.4713,0.0576,Unstranded
SJAMLM7048_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4785,0.4803,0.0412,Unstranded
SJAMLM7049_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4705,0.4736,0.0559,Unstranded
SJAMLM7050_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4728,0.4759,0.0513,Unstranded
SJAMLM7051_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4751,0.4772,0.0477,Unstranded
SJAMLM7052_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4721,0.4751,0.0528,Unstranded
SJAMLM7053_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4897,0.4916,0.0188,Unstranded
SJAMLM7054_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4706,0.4737,0.0556,Unstranded
SJAMLM7055_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4888,0.4889,0.0223,Unstranded
SJAMLM7056_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4782,0.4781,0.0437,Unstranded
SJAMLM7057_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.464,0.4579,0.078,Unstranded
SJAMLM7058_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4568,0.459,0.0842,Unstranded
SJAMLM7059_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4755,0.4753,0.0492,Unstranded
SJAMLM7060_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4772,0.4745,0.0482,Unstranded
SJBALL000013_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4708,0.4741,0.0551,Unstranded
SJBALL010_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4705,0.4713,0.0582,Unstranded
SJBALL015_D,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4726,0.4738,0.0536,Unstranded
SJBALL020013_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4898,0.4873,0.0228,Unstranded
SJBT030769_D2,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBALL020069_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.474,0.4764,0.0496,Unstranded
SJBALL020073_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4747,0.4752,0.05,Unstranded
SJBALL020077_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4771,0.4762,0.0467,Unstranded
SJBALL020081_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4725,0.4702,0.0573,Unstranded
SJBALL020084_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4745,0.4727,0.0527,Unstranded
SJBALL020091_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4656,0.4654,0.069,Unstranded
SJBALL020098_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4763,0.4741,0.0495,Unstranded
SJBALL020100_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.477,0.4754,0.0476,Unstranded
SJBALL020101_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4837,0.4841,0.0322,Unstranded
SJBALL020106_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4711,0.4707,0.0582,Unstranded
SJBALL020111_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4687,0.4685,0.0628,Unstranded
SJBALL020113_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4796,0.4791,0.0414,Unstranded
SJBALL020122_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4813,0.4804,0.0383,Unstranded
SJBALL020138_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4737,0.4772,0.0491,Unstranded
SJBALL020140_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4707,0.4711,0.0582,Unstranded
SJBALL020141_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4764,0.4796,0.044,Unstranded
SJBALL020142_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4682,0.4671,0.0647,Unstranded
SJBALL020145_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4596,0.4615,0.0789,Unstranded
SJBALL020151_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4634,0.462,0.0746,Unstranded
SJBALL020340_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4836,0.4804,0.036,Unstranded
SJBALL020374_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4766,0.4763,0.0471,Unstranded
SJBALL020383_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4672,0.4674,0.0653,Unstranded
SJBALL020469_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4686,0.4663,0.0651,Unstranded
SJBALL020570_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4751,0.474,0.0509,Unstranded
SJBALL020579_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4685,0.4726,0.0589,Unstranded
SJBT030780_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBALL020589_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4735,0.4752,0.0513,Unstranded
SJBALL020595_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4738,0.4751,0.0511,Unstranded
SJBALL020609_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4685,0.4692,0.0623,Unstranded
SJBALL020625_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4677,0.4695,0.0628,Unstranded
SJBALL020649_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4732,0.4774,0.0494,Unstranded
SJBALL020704_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4699,0.4725,0.0576,Unstranded
SJBALL020765_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4816,0.4811,0.0372,Unstranded
SJBT030802_D1,FFPE,HiSeq4000,Total_RNA,Paired_End,126,,,,Undetermined
SJBALL020828_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4762,0.4721,0.0518,Unstranded
SJBALL020832_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4699,0.47,0.0601,Unstranded
SJBALL020836_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.476,0.4762,0.0477,Unstranded
SJBALL020877_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4635,0.4657,0.0708,Unstranded
SJBALL020882_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.471,0.4731,0.0559,Unstranded
SJBALL020941_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4761,0.4731,0.0508,Unstranded
SJBALL020953_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4687,0.4675,0.0638,Unstranded
SJBALL020958_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.469,0.4672,0.0638,Unstranded
SJBALL020964_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4658,0.465,0.0692,Unstranded
SJBALL020966_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4766,0.4754,0.0479,Unstranded
SJBALL020967_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4595,0.4569,0.0836,Unstranded
SJBALL020977_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4702,0.468,0.0618,Unstranded
SJBALL020980_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4872,0.4891,0.0237,Unstranded
SJBALL020984_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4687,0.4697,0.0616,Unstranded
SJBALL020987_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4576,0.455,0.0874,Unstranded
SJBALL020993_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.477,0.4763,0.0467,Unstranded
SJBALL020994_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4752,0.4736,0.0512,Unstranded
SJBALL020995_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4755,0.4748,0.0496,Unstranded
SJBALL020998_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4754,0.4772,0.0474,Unstranded
SJBALL021005_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4756,0.4773,0.0471,Unstranded
SJBALL021012_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4751,0.4734,0.0515,Unstranded
SJBALL021018_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4695,0.4691,0.0614,Unstranded
SJBALL021021_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.454,0.4562,0.0897,Unstranded
SJBALL021023_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.466,0.4663,0.0677,Unstranded
SJBALL021031_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4607,0.4602,0.079,Unstranded
SJBALL021043_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4683,0.4697,0.062,Unstranded
SJBALL021047_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4736,0.4733,0.0531,Unstranded
SJBALL021058_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4684,0.4688,0.0629,Unstranded
SJBALL021059_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4757,0.4752,0.0492,Unstranded
SJBALL021061_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4718,0.4716,0.0566,Unstranded
SJBALL021080_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4794,0.4774,0.0432,Unstranded
SJBALL021083_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4759,0.4747,0.0494,Unstranded
SJBALL021102_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4769,0.4782,0.0448,Unstranded
SJBALL021104_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4759,0.4768,0.0473,Unstranded
SJBALL021108_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.472,0.471,0.057,Unstranded
SJBALL021109_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4783,0.4754,0.0463,Unstranded
SJBALL021124_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4727,0.4712,0.0561,Unstranded
SJBALL021128_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.478,0.479,0.0429,Unstranded
SJBALL021130_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4755,0.4728,0.0517,Unstranded
SJBALL021131_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4683,0.4666,0.0652,Unstranded
SJBALL021145_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4778,0.4756,0.0466,Unstranded
SJBALL021146_D1,Fresh/Frozen,HiSeq2000,PolyA,Paired_End,101,0.4773,0.4758,0.047,Unstranded
