KEY,Study,SampleID,SequencingType,SampleSequencing,BamFile,SampleTypeAbbreviation,SampleTypeDescription,Sample_Preparation,SamplePreservativeDesignationReason,SequencingMachineIDs,Sequencing_Machine,Library_Selection,Sequencing_Approach,Lab_Reported_Strandedness,Sequencing_Protocol,SequencingProtocolDesignationReason,ReadLength_bp,Protocol,StrandedAnalysis_InferExperiment_PeSense,StrandedAnalysis_InferExperiment_AntiSense,StrandedAnalysis_InferExperiment_Failed,Predicted Strandness via InferExperiment,KeepOrExclude,Reason for Decision
PCGP_SJACT060_D,PCGP,SJACT060_D,RNA-Seq,SJACT060_D.RNA-Seq,SJACT060_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4722,0.476,0.0518,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT061_D,PCGP,SJACT061_D,RNA-Seq,SJACT061_D.RNA-Seq,SJACT061_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4744,0.4763,0.0494,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT062_D,PCGP,SJACT062_D,RNA-Seq,SJACT062_D.RNA-Seq,SJACT062_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4716,0.4762,0.0522,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT063_D,PCGP,SJACT063_D,RNA-Seq,SJACT063_D.RNA-Seq,SJACT063_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4612,0.4639,0.0749,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT064_D,PCGP,SJACT064_D,RNA-Seq,SJACT064_D.RNA-Seq,SJACT064_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4801,0.4825,0.0374,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT065_D,PCGP,SJACT065_D,RNA-Seq,SJACT065_D.RNA-Seq,SJACT065_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4687,0.474,0.0573,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT066_D,PCGP,SJACT066_D,RNA-Seq,SJACT066_D.RNA-Seq,SJACT066_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4725,0.4783,0.0492,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT067_D,PCGP,SJACT067_D,RNA-Seq,SJACT067_D.RNA-Seq,SJACT067_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4621,0.4677,0.0702,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT068_D,PCGP,SJACT068_D,RNA-Seq,SJACT068_D.RNA-Seq,SJACT068_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4601,0.462,0.0778,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT069_D,PCGP,SJACT069_D,RNA-Seq,SJACT069_D.RNA-Seq,SJACT069_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4629,0.4649,0.0722,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT070_D,PCGP,SJACT070_D,RNA-Seq,SJACT070_D.RNA-Seq,SJACT070_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4614,0.4645,0.074,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
PCGP_SJACT071_D,PCGP,SJACT071_D,RNA-Seq,SJACT071_D.RNA-Seq,SJACT071_D.RNA-Seq.bam,D,DIAGNOSIS,Fresh/Frozen,Not flagged as FFPE or Target Enriched in John Easton Worksheet so assume is Fresh/Frozen,HWI-ST988,HiSeq2000,PolyA,Paired_End,Unstranded,PolyA_Unstranded_Paired_End,Discussion with John Easton,101,PolyA_Unstranded_Paired_End_101,0.4733,0.479,0.0476,Unstranded,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
Clinical Pilot_SJALCL030011_D1,Clinical Pilot,SJALCL030011_D1,RNA-Seq,SJALCL030011_D1.RNA-Seq,SJALCL030011_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Rusch et al., Nat. Comm. 2018; Verbal confirmation from Joy via conversation with Delaram about all Clinical Pilot studies","HWI-700461R,HISEQ",HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,"Rusch et al., Nat. Comm. 2018",101,Total_Stranded_Paired_End_101,0.0199,0.9345,0.0456,Stranded-Reverse,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
RTCG_SJALCL031066_D1,RTCG,SJALCL031066_D1,RNA-Seq,SJALCL031066_D1.RNA-Seq,SJALCL031066_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
Clinical Pilot_SJAML001417_D1,Clinical Pilot,SJAML001417_D1,RNA-Seq,SJAML001417_D1.RNA-Seq,SJAML001417_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Rusch et al., Nat. Comm. 2018; Verbal confirmation from Joy via conversation with Delaram about all Clinical Pilot studies",HISEQ,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,"Rusch et al., Nat. Comm. 2018",101,Total_Stranded_Paired_End_101,0.0269,0.9227,0.0504,Stranded-Reverse,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
Clinical Pilot_SJAML030004_D1,Clinical Pilot,SJAML030004_D1,RNA-Seq,SJAML030004_D1.RNA-Seq,SJAML030004_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Rusch et al., Nat. Comm. 2018; Verbal confirmation from Joy via conversation with Delaram about all Clinical Pilot studies",HISEQ,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,"Rusch et al., Nat. Comm. 2018",101,Total_Stranded_Paired_End_101,0.0225,0.9253,0.0523,Stranded-Reverse,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
Clinical Pilot_SJAML030006_D1,Clinical Pilot,SJAML030006_D1,RNA-Seq,SJAML030006_D1.RNA-Seq,SJAML030006_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Rusch et al., Nat. Comm. 2018; Verbal confirmation from Joy via conversation with Delaram about all Clinical Pilot studies",HISEQ,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,"Rusch et al., Nat. Comm. 2018",101,Total_Stranded_Paired_End_101,0.015,0.94,0.045,Stranded-Reverse,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
Clinical Pilot_SJAML030024_D1,Clinical Pilot,SJAML030024_D1,RNA-Seq,SJAML030024_D1.RNA-Seq,SJAML030024_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Rusch et al., Nat. Comm. 2018; Verbal confirmation from Joy via conversation with Delaram about all Clinical Pilot studies",D98F08P1,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,"Rusch et al., Nat. Comm. 2018",101,Total_Stranded_Paired_End_101,0.0165,0.9391,0.0444,Stranded-Reverse,KEEP,"Don't know the sequencing machine type, but keep for now"
Clinical Pilot_SJAML030025_D1,Clinical Pilot,SJAML030025_D1,RNA-Seq,SJAML030025_D1.RNA-Seq,SJAML030025_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Rusch et al., Nat. Comm. 2018; Verbal confirmation from Joy via conversation with Delaram about all Clinical Pilot studies",HWI-700461R,HiSeq2000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,"Rusch et al., Nat. Comm. 2018",101,Total_Stranded_Paired_End_101,0.0166,0.9287,0.0547,Stranded-Reverse,KEEP,"Okay according to Sequencing Machine, Read Length Distribution, Fresh/Frozen sample, Strandness Distribution"
G4K_SJAML030069_D1,G4K,SJAML030069_D1,RNA-Seq,SJAML030069_D1.RNA-Seq,SJAML030069_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0203,0.9169,0.0628,Stranded-Reverse,KEEP,
G4K_SJAML030077_D1,G4K,SJAML030077_D1,RNA-Seq,SJAML030077_D1.RNA-Seq,SJAML030077_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0143,0.9484,0.0373,Stranded-Reverse,KEEP,
G4K_SJAML030079_D1,G4K,SJAML030079_D1,RNA-Seq,SJAML030079_D1.RNA-Seq,SJAML030079_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0214,0.9149,0.0637,Stranded-Reverse,KEEP,
G4K_SJAML030085_D1,G4K,SJAML030085_D1,RNA-Seq,SJAML030085_D1.RNA-Seq,SJAML030085_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0233,0.9248,0.052,Stranded-Reverse,KEEP,
G4K_SJAML030099_D1,G4K,SJAML030099_D1,RNA-Seq,SJAML030099_D1.RNA-Seq,SJAML030099_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0256,0.9314,0.043,Stranded-Reverse,KEEP,
G4K_SJAML030118_D1,G4K,SJAML030118_D1,RNA-Seq,SJAML030118_D1.RNA-Seq,SJAML030118_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0196,0.929,0.0514,Stranded-Reverse,KEEP,
G4K_SJAML030119_D1,G4K,SJAML030119_D1,RNA-Seq,SJAML030119_D1.RNA-Seq,SJAML030119_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",HWI-D00559,HiSeq2500,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0278,0.9254,0.0469,Stranded-Reverse,KEEP,
G4K_SJAML030120_D1,G4K,SJAML030120_D1,RNA-Seq,SJAML030120_D1.RNA-Seq,SJAML030120_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",NS500229,NextSeq,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0243,0.9268,0.0489,Stranded-Reverse,KEEP,
G4K_SJAML030151_D1,G4K,SJAML030151_D1,RNA-Seq,SJAML030151_D1.RNA-Seq,SJAML030151_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",HWI-D00559,HiSeq2500,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.019,0.9384,0.0426,Stranded-Reverse,KEEP,
G4K_SJAML030153_D1,G4K,SJAML030153_D1,RNA-Seq,SJAML030153_D1.RNA-Seq,SJAML030153_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","HWI-D00559,NS500229","HiSeq2500,NextSeq",Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0106,0.9449,0.0445,Stranded-Reverse,KEEP,
G4K_SJAML030155_D1,G4K,SJAML030155_D1,RNA-Seq,SJAML030155_D1.RNA-Seq,SJAML030155_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",HWI-D00559,HiSeq2500,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0195,0.9144,0.0661,Stranded-Reverse,KEEP,
G4K_SJAML030156_D1,G4K,SJAML030156_D1,RNA-Seq,SJAML030156_D1.RNA-Seq,SJAML030156_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",HWI-D00559,HiSeq2500,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0239,0.9202,0.0559,Stranded-Reverse,KEEP,
G4K_SJAML030163_D1,G4K,SJAML030163_D1,RNA-Seq,SJAML030163_D1.RNA-Seq,SJAML030163_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00326,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0225,0.9179,0.0596,Stranded-Reverse,KEEP,
G4K_SJAML030186_D1,G4K,SJAML030186_D1,RNA-Seq,SJAML030186_D1.RNA-Seq,SJAML030186_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00258,NS500229","HiSeq4000,NextSeq",Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0289,0.9261,0.045,Stranded-Reverse,KEEP,
G4K_SJAML030195_D1,G4K,SJAML030195_D1,RNA-Seq,SJAML030195_D1.RNA-Seq,SJAML030195_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0246,0.925,0.0504,Stranded-Reverse,KEEP,
G4K_SJAML030200_D1,G4K,SJAML030200_D1,RNA-Seq,SJAML030200_D1.RNA-Seq,SJAML030200_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0153,0.9483,0.0365,Stranded-Reverse,KEEP,
G4K_SJAML030208_D1,G4K,SJAML030208_D1,RNA-Seq,SJAML030208_D1.RNA-Seq,SJAML030208_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00309,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0179,0.9283,0.0538,Stranded-Reverse,KEEP,
G4K_SJAML030209_D1,G4K,SJAML030209_D1,RNA-Seq,SJAML030209_D1.RNA-Seq,SJAML030209_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""","K00309,NS500229","HiSeq4000,NextSeq",Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0459,0.921,0.0331,Stranded-Reverse,KEEP,
RTCG_SJAML030210_D2,RTCG,SJAML030210_D2,RNA-Seq,SJAML030210_D2.RNA-Seq,SJAML030210_D2.RNA-Seq.bam,D2,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00327,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,,,,Not Available,KEEP,
G4K_SJAML030231_D1,G4K,SJAML030231_D1,RNA-Seq,SJAML030231_D1.RNA-Seq,SJAML030231_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0145,0.939,0.0465,Stranded-Reverse,KEEP,
G4K_SJAML030233_D1,G4K,SJAML030233_D1,RNA-Seq,SJAML030233_D1.RNA-Seq,SJAML030233_D1.RNA-Seq.bam,D1,DIAGNOSIS,Fresh/Frozen,"Michael Rusch, Joy Nakitandwe worksheet ""ClinGen_G4K rPreserv Protocol""",K00329,HiSeq4000,Total_RNA,Paired_End,Stranded-Reverse,Total_Stranded_Paired_End,,126,Total_Stranded_Paired_End_126,0.0192,0.9224,0.0584,Stranded-Reverse,KEEP,
